Conference,Year,Filename,Cite Title,Authors,Year,Venue,,,,Corrected Year,"Is Corrected 1£ºGhost, 0:Error"
AAAI,2021,725,League tables of in vitro fertilisation clinics: How confident can we be about the rankings,E Marshall;D Spiegelhalter,1998,British Medical Journal,,,,1998,0
AAAI,2021,1110010,Multi-document summary using LDA and spectral clustering,F Ling;Z Hui,2013,Computer Engineering & Applications,,,,,1
AAAI,2021,1110030,Critical values and probability levels for the Wilcoxon rank sum test and the Wilcoxon signed rank test,F Wilcoxon;S Katti;R Wilcox,1970,Selected tables in mathematical statistics,,,,,1
AAAI,2021,1110050,"This number originates from a keynote talk by Phil Ydens, Adobe's VP Engineering for Docu",A Vaswani;N Shazeer;N Parmar;J Uszkoreit;L Jones;A Gomez;L Kaiser;I Polosukhin;I Guyon;U Luxburg;S Bengio;H Wallach;R Fergus;S Vishwanathan;R Garnett;X Zhong;J Tang;A Yepes,2017,2019 International Conference on Document Analysis and Recognition (ICDAR),,,,,1
AAAI,2021,1110259,A Random Under-Sampled Deep Architecture with Medical Event Embedding: Highly Imbalanced Rare Disease Classification with EHR Data,Y Hu;F Chen;Y Cai;Y Yuan,2019,International Conference on Data Science (ICDATA'19),,,,,1
AAAI,2021,1110421,Prediction of parking availability in car parks using sensors and IoT: SPS,S Shinde;S Bhagwat;S Pharate;V Paymode,2016,International Journal of Engineering Science and Computing,,,,,1
AAAI,2021,1110425,"Modeling Parts, Structure, and System Dynamics via Predictive Learning",Z Liu;J Wu;Z Xu;C Sun;K Murphy;W Freeman;J Tenenbaum,2019,International Conference on Learning Representations,,,,,1
AAAI,2021,1110482,Measurement and Application of Chinese Component Semantic Ability Based on Distributed Representation,S Liang;X Tang;R Hu;J Wu;Z Liu,2019,CCL,,,,,1
AAAI,2021,1110491,Robust Black Box Explanations Under Distribution Shift,H Lakkaraju;N Arsov;O Bastani,2020,International Conference on Machine Learning (ICML),,,,,1
AAAI,2021,1110607,HIV/AIDS among Persons Experiencing Homelessness,H Narasimhan;D Parkes;Y Singer,2015,Advances in Neural Information Processing Systems,,,,,1
AAAI,2021,1110734,Universal trigger sequences for attacking and analyzing NLP,E Wallace;S Feng;N Kandpal;M Gardner;S Singh,2019,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing,,,,,1
AAAI,2020,663,Multi-task learning of keyphrase boundary detection,I Augenstein;S Ruder;A S?gaard,2017,ACL,,,,2017,0
AAAI,2020,1110069,Introspective learning for discriminative classification,L Jin;J Lazarow;Z Tu,2017,Advances in Neural Information Processing Systems,,,,,1
AAAI,2020,1110088,Introduction of coastal water temperature forecasting method for aquaculture in tohoku region,K Nakagawa;Y Fukuda;H Kaneko,2018,Weather service bulletin,,,,,1
AAAI,2020,1110298,Social Planning -Reasoning with and about others,T Miller,2017,Invited Talk at IJCAI Workshop on Impedance Matching in Cognitive Partnerships,,,,,1
AAAI,2020,1110438,User interest related information diffusion pattern mining in microblog,Acm Hao;Z Huang;C Cai;R Wen;W Huang;Y Chen;B,2016,Pattern Recognition and Artificial Intelligence,,,,,1
ICML,2025,ZuaU2bYzlc,Towards private synthetic text generation,R Bommasani;W Schofield;X,2019,NeurIPS 2019 Machine Learning with Guarantees Workshop,,,,2019,1
ICML,2025,zkGfPYAM5D,"Ableitung der elementarteilertheorie aus der gruppentheorie, nachrichten der 27 januar 1925",E Noether,1926,Jahresbericht Deutschen Math. Verein.(2. Abteilung),,,,1926,1
ICML,2025,RKbanvzycr,On the minimum computation time for multiplication,S Cook,1966,"Doctoral diss., Harvard U",,,,1966,1
ICML,2025,goVzfYtj58,Fast Multi-level Tiny Time Mixers for Improved Zero-shot and Few-shot Forecasting of Multivariate Time Series,V Ekambaram;A Jati;N Nguyen;P Dayama;C Reddy;W Gifford;J Kalagnanam;Ttms,2024,Advances in Neural Information Processing Systems,,,,2024,1
ICML,2025,XEYoTQv00G,Une propri¨¦t¨¦ topologique des sousensembles analytiques r¨¦els,S Lojasiewicz,1963,Les ¨¦quations aux d¨¦riv¨¦es partielles,,,,1963,1
ICML,2025,vhjuemZuRU,Encoding and decoding images as implicit neural fields using data augmentation,Z Chen;S Wang;C Liu;T Yang;B Dai;D Lin;Transinr,,Advances in Neural Information Processing Systems (NeurIPS),,,,2021,1
ICML,2025,A82tIFgJaK,Explorations in geometry-aware neural networks for learning hyperspherical embeddings,L Falorsi;N De Cao;P Li¨°,2018,International Conference on Learning Representations,,,,2018,1
ICML,2025,A82tIFgJaK,Antigen design using generative diffusion models,X Luo;J Wang;H Tang,2021,Proceedings of the National Academy of Sciences,,,,2021,1
ICML,2025,A82tIFgJaK,Student-t distribution-based robust loss functions,H Matsubara;M Imai,2021,Proceedings of the Conference on Computer Vision and Pattern Recognition,,,,2021,1
ICML,2025,CVQwQp9V1D,Integrating raft-based optical flow with appearance models for multi-object tracking,K Zhang;J Wang;X Chen;Y Yang;Dualflow,2022,Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision,,,,2020,1
ICML,2025,d6CTIPrTTC,Round-off errors in numerical integration on automatic machinery-preliminary report,G Forsythe,1950,Bull. Amer. Math. Soc,,,,1950,1
ICML,2025,EMHED4WTHT,Quantifying input uncertainty in stochastic optimization,H Lam;E Zhou,2015,2015 Winter Simulation Conference,,,,2015,1
ICML,2025,JblpkLmvPg,Citeseer: A citation index for computer science,D Senior;A Sandeep,2010,Journal of Computer Science,,,,2010,1
ICML,2025,efWv8jOBkb,Adaptive optimization in the infinitwidth limit,E Littwin;G Yang,2022,The Eleventh International Conference on Learning Representations,,,,2022,0
ICML,2025,avGZE46gL6,f8f06494c97b1afccf3-Paper. pdf,I Goodfellow;J Pouget-Abadie;M Mirza;B Xu;D Warde-Farley;S Ozair;A Courville;Y Bengio;K Gregor;I Danihelka;A Mnih;C Blundell;D Wierstra,2014,Proceedings of the 31st International Conference on Machine Learning,,,,2014,1
ICML,2025,QWpuqidr53,Attacking Graph Neural Networks at Scale. Deep Learning for Graphs at,S Geisler;D Z¨¹gner;A Bojchevski;S G¨¹nnemann,2021,AAAI Conference on Artificial Intelligence,,,,2021,0
ICML,2025,pyC5idZvjT,Prescriptive machine learning for public policy: The case of immigration enforcement,D Bertsimas;M Fazel-Zarandi,2022,Under review,,,,,1
ICML,2025,Y861SAkeCQ,harmbenchuage models with language models,E Perez;S Huang;F Song;T Cai;R Ring;J Aslanides;A Glaese;N Mcaleese;G Irving,2022,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,,,,2022,0
ICML,2025,19kqoNoc2N,Per-domain PPL of models trained with our weights and with weights in grid search,,,Model Scale IF Math Code Ours Best Ours Best Ours Best Qwen,,,,2023,0
ICML,2025,HV8vZDDoYc,Proteomics and the analysis of protein phosphorylation,A Hoofnagle;K Resing,2001,Current Opinion in Biotechnology,,,,,1
ICML,2025,kmg7hweySi,The effects of neural resource constraints on early visual representations,J Lindsey;S Ocko;S Ganguli;S Deny,2019,International Conference on Learning Representations,,,,,1
ICML,2025,K3lykWhXON,Towards effective sparsification for molecular graph property prediction,Y Peng;R Zhang,2022,Journal of Chemical Information and Modeling,,,,,1
ICML,2025,Ii0DX4U439,Incremental multilabel learning with dual knowledge distillation,Y Liu;W Feng;J Sun;X Zhang,2022,IEEE Transactions on Neural Networks and Learning Systems,,,,,1
ICML,2025,Ii0DX4U439,Adaptive emotion recognition through progressive knowledge distillation,H Wang;L Zhang;X Li;G Zhao,2023,IEEE Transactions on Affective Computing,,,,,1
ICML,2025,Ii0DX4U439,Meta-learning for adaptive emotion recognition in dynamic environments,K Zhang;F Liu;M Liu;J Yang,2022,Proceedings of the 30th ACM International Conference on Multimedia,,,,,1
ICML,2025,VSIjdKPGp8,Emergent individuality in multi-agent systems through observation-identity mapping,Y Jiang;H Lu,2021,Journal of Artificial Intelligence Research (JAIR),,,,,1
ICML,2025,FyiTRWgBR3,Gini index and decision tree method with mitigating random consistency,J Wang;F Li;J Li;Y Qian;J Liang,2024,Science China Information Sciences,,,,,1
ICML,2025,FyiTRWgBR3,On the effectiveness of the softmax loss for deep learning,S Rangapuram;Y Seldin;S Bubeck,2018,Proceedings of the 35th International Conference on Machine Learning,,,,,1
ICML,2025,7UqNM85dD6,Gbert: A pre-trained graph-based transformer for modeling drug-drug interactions,X Peng;B Li;Y Zhao;Y Zhang;F He;T Jiang,2021,Bioinformatics,,,,,1
ICML,2025,e46xNZhwl8,¨¹ber die "ganzzahligkeit" der atomgewichten und ververwandte fragen,R Von Mises,1918,Physical Journal,,,,,1
ICML,2025,7Tp9zjP9At,A small 6-chromatic unit-distance graph in R3,A De Grey,2020,Geombinatorics Quarterly,,,,,1
ICML,2025,jwjvkWsePB,Connectivity challenges in leo satellite networks,L Brown;M Green,2021,IEEE Transactions on Aerospace and Electronic Systems,,,,,1
ICML,2025,jwjvkWsePB,Internet of things: Addressing sporadic connectivity,H Kim;Y Chen,2019,IEEE Internet of Things Journal,,,,,1
ICML,2025,jwjvkWsePB,Connectivity solutions for autonomous vehicles in isolated regions,K Lee;S Park,2020,Proceedings of the International Conference on Autonomous Systems,,,,,1
ICML,2025,jwjvkWsePB,Mobile device connectivity in rural areas,R Taylor;T Nguyen,2018,Journal of Mobile Computing,,,,,1
ICML,2025,FCm4laCLiH,Towards private synthetic text generation,R Bommasani;Z Wu;A Schofield,2019,NeurIPS 2019 Machine Learning with Guarantees Workshop,,,,,1
ICML,2025,GKZySvM2t9,A class of provably good methods for digital watermarking and information embedding,B Chen;G Wornell,2001,IEEE Trans. on Information Theory,,,,2001,0
ICML,2025,clJIQ4TKR0,Alpacaeval: An automatic evaluator of instruction-following models,X Li;T Zhang;Y Dubois;R Taori;I Gulrajani;C Guestrin;P Liang;T Hashimoto,2023,Advances in Neural Information Processing Systems,,,,,0
ICML,2025,ZwcMZ443BF,Efficiently estimating markovian average treatment effects in infinite-horizon settings,M Uehara;M Imaizumi;N Jiang;N Kallus,2023,Advances in Neural Information Processing Systems (NeurIPS),,,,,1
ICML,2025,NhJ4cCifqF,Fair bandits with guaranteed rewards,A Sinha;Banditq,2024,The 40th Conference on Uncertainty in Artificial Intelligence,,,,,0
ICML,2025,44gnGhurnZ,Convergence rates of neural networks for supervised learning on manifolds,Z Allen-Zhu;Y Li;Z Song,2019,Advances in Neural Information Processing Systems,,,,,1
ICML,2025,44gnGhurnZ,Demystifying the weak performance of graph attention networks,F Wu;A Gomez;Y Tian;J Qiu;J Tang,2023,International Conference on Learning Representations,,,,,1
ICML,2025,44gnGhurnZ,Sparsity preserving low-rank decomposition for compression of deep networks,J Zhao;D Park;S Zhang;L Lee;C Yan,2020,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,,1
ICML,2025,UFlyLkvyAE,Performers: A new approach to scaling transformers,K Choromanski;M Kuczynski;J Cieszkowski;P Beletsky;K Smith;W Gajewski;G Masson;T Broniatowski;A Gorny;L Kaczmarek;S Andrzejewski,2020,Proceedings of the 37th International Conference on Machine Learning (ICML),,,,,1
ICML,2025,UFlyLkvyAE,Structured state space for scalable and efficient sequence modeling,D Fu;Y Ma;Y Qian,,Proceedings of the 41st International Conference on Machine Learning (ICML),,,,,1
ICML,2025,UFlyLkvyAE,Structured state space models for efficient sequence modeling,S Gu;X Yu;V Chao,,Proceedings of the 38th International Conference on Machine Learning (ICML),,,,,1
ICML,2025,UFlyLkvyAE,Efficiency in state space models for sequence learning,H Nguyen,2023,Journal of Machine Learning Research,,,,,1
ICML,2025,A9XePhy4Z3,A benchmark for long-context interleaved video-language understanding,H Wu;D Li;B Chen;J Li;Longvideobench,2024,Advances in Neural Information Processing Systems,,,,,0
ICML,2025,l7ZmdeFyM1,Representing the real-world geometry by a discontinuous representation,Z Liao;Y Liu;Q Zheng;G Pan;Nerf,2024,Proceedings of the AAAI Conference on Artificial Intelligence,,,,,0
ICML,2025,7Tp9zjP9At,Almost chromatic number of the plane,I Hoffman;A Soifer,1993,Geombinatorics,,,,,1
ICML,2025,oRdfFS7xO5,Towards Private Synthetic Text Generation,R Bommasani;S Wu;X Schofield,2019,NeurIPS 2019 Machine Learning with Guarantees Workshop,,,,,1
ICML,2025,LhkSfpfRXW,Fast learning of on-line em algorithm,M Sato,1999,"Rapport Technique, ATR Human Information Processing Research Laboratories",,,,,1
ICML,2025,pRlKbAwczl,Interaction between criteria and definition of weights in mcda problems,M Roubens,1996,44th Meeting of the European Working Group "Multicriteria Aid for Decisions,,,,,1
ICML,2025,SUX6Wzy9t1,3D reconstruction of a landslide by application of UAV and structure from motion,S Gupta;D Shukla,2017,AGILE Conference on Geographic Information Science,,,,,1
ICML,2025,Cq1BNvHx74,Easily finetune and train LLMs,Unsloth Team,2024,Get faster with unsloth,,,,,1
ICML,2025,edN2rEemj6,Let's erase: Prompt-based mitigation of textual bias,Z Yang;Y Zhang;H Zhao,,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (ACL),,,,,1
ICML,2025,f6SFHNfuMu,Menus of Change. About -Menus of Change -menusofchange,R Mattes,1997,The American journal of Clinical Nutrition,,,,,1
ICML,2025,edN2rEemj6,Towards fairness in text classification: An overview of mitigation strategies,L Wang;L Chen;X Zhu;S Li,,ACM Computing Surveys,,,,,1
ICML,2024,796,Defect classification using na?ve bayes classification,S Veni;A Srinivasan,2017,Interbational Journal of Applied Engineering Research,,,,2017,0
ICML,2024,323,Deep learning-based social media misinformation detection,N Kshetri;J Voas,2022,IEEE Software,,,,2022,1
ICML,2024,319,The Problem of Legitimate Value Change: Value Malleability and AI Alignment,N Ammann,2024,Forthcoming,,,,2024,1
ICML,2024,130,Science and technology in a democratic order,R Merton,1942,Journal of legal and political sociology,,,,1942,1
ICML,2024,86,"Improving the compositionality of word embeddings. Master's thesis, Universiteit van Amsterdam",T Scheepers,2017,Science Park,,,,2017,1
ICML,2024,188,Thesamplecomplexityofp atternclassification withneuralnetworks: Thesizeoftheweightsismo reimportantthan thesizeofthenetwork,P Bartlett,1998,IEEETrans. Inf. Theory,,,,1998,1
ICML,2023,767,Closed-loop optimization of extreme fast charging for batteries using machine learning,P Attia;A Grover;N Jin;K Severson;B Cheong;J Liao;M Chen;N Perkins;Z Yang;P Herring;M Aykol;S Harris;R Braatz;S Ermon;W Chueh,2020,Nature,,,,2020,1
ICML,2023,231,Methods of Determining Equilibrium Situations in Zero-Sum Polymatrix Games,L Bregman;I Fokin,1987,Optimizatsia,,,,1987,1
ICML,2023,491,Sur les polynomes de tchebicheff,J Favard,2052,CR Acad. Sci,,,,1935,1
ICML,2023,866,Multidimensional statistical scatter. Collected Papers,S Wilks,1967,Contributions to Mathematical Statistics,,,,1967,1
ICML,2023,793,Simple and efficient methods for constructing bootstrap confidence intervals,J Booth;K.-A Do,1993,Computational Statistics,,,,1993,1
ICML,2022,630,Turing: Composable inference for probabilistic programming,H Ge;K Xu;Z Ghahramani,2018,Proceedings of the 21st International Conference on Artificial Intelligence and Statistics,,,,2018,1
ICML,2022,744,Une propri¨¦t¨¦ topologique des sousensembles analytiques r¨¦els,S Lojasiewicz,1963,Les ¨¦quations aux D¨¦riv¨¦es Partielles,,,,1963,1
ICML,2022,187,Complexity of k-sat. Proceedings,R Impagliazzo;R Paturi,1999,Fourteenth Annual IEEE Conference on Computational Complexity (Formerly: Structure in Complexity Theory Conference,,,,1999,0
ICML,2022,652,¨¹ber das interpolationsproblems,H Hahn,1918,Mathematische Zeitschrift,,,,1918,1
ICML,2022,784,Uncertainty analysis: the variance of the variance. Managing Uncertainty in Complex Models,A O'hagan,2006,Research Councils UK,,,,2012,1
ICML,2022,177,Interior-point approaches to the transportation and assignment problems on microcomputers,F Bastos;J Paix?o,1993,Investiga??o Operacional,,,,1993,1
ICML,2022,938,Leveraging real-world data for covid-19 research: challenges and opportunities,M Reynolds;J Christian;C Mack;N Hall;N Dreyer,2020,Journal of Precision Medicine,,,,2020,1
ICML,2022,734,Solution directe de l'¨¦quation s¨¦culaire et de quelques probl¨¨mes analogues transcendants,H M¨¹ntz,1913,C. R. Acad. Sci,,,,1913,1
ICML,2022,430,Unsupervised federated learning is possible,Anonymous,2022,Submitted to Int. Conf. on Learning Representations (ICLR),,,,,1
ICML,2022,276,Machine learning improves hearing aids,A Clauset;K Post,2019,Science,,,,,1
ICML,2022,9,Optimizing few-step diffusion samplers by gradient descent,Anonymous,,"Submitted to The Tenth In-ternational Conference on Learning Representations, 2022a",,,,,1
ICML,2022,435,Generalized transportability: Synthesis of experiments from heterogeneous domains,S Lee;J Correa;E Bareinboim,2020,Proceedings of the 34th AAAI Conference on Artificial Intelligence,,,,2020,0
ICML,2022,486,PyramidFL: Fine-grained data and system heterogeneity-aware client selection for efficient federated learning,C Li;X Zeng;M Zhang;Z Cao,2022,MobiCom,,,,2022,0
ICML,2021,646,Turing: Composable inference for probabilistic programming,H Ge;K Xu;Z Ghahramani,2018,Proceedings of the 21st International Conference on Artificial Intelligence and Statistics,,,,2018,0
ICML,2021,944,Turing: composable inference for probabilistic programming,H Ge;K Xu;Z Ghahramani,2018,Proceedings of the 21st Conference on International Conference on Artificial Intelligence and Statistics,,,,2018,0
ICML,2021,593,Quantifying input uncertainty in stochastic optimization,H Lam;E Zhou,2015,2015 Winter Simulation Conference,,,,,1
ICML,2021,329,Online non-convex optimization with inexact models,A H¨¦liou;M Martin;P Mertikopoulos;T Rahier,2020,NeurIPS '20: Proceedings of the 34th International Conference on Neural Information Processing Systems,,,,2020,0
ICML,2021,51,Reweighted data for robust probabilistic models,Y Wang;A Kucukelbir;D Blei,2017,International Conference on Machine Learning,,,,2017,0
ICML,2020,79,Random matrix-inspired improved semi-supervised learning on graphs,X Mai;R Couillet,2018,International Conference on Machine Learning,,,,,1
ICML,2020,419,A platform for generating and validating breast risk models from clinical data,N Smedley;N Chau;A Petruse;W Hsu,2011,age,,,,2015,1
ICML,2020,808,"The asymptotic convergence-rate of Q-ari, C. learning","Szepesvari, C.",1998,Advances in Neural Information Processing Systems,,,,1997,0
ICML,2020,268,Bregman iterative algorithms for compressed sensing and related problems,W Yin;S Osher;J Darbon;D Goldfarb,2008,SIAM Journal on Imaging sciences,,,,2008,0
ICML,2020,713,Near-optimal hashing algorithms for near neighbor problem in high dimension,A Andoni;P Indyk,2008,Communications of the ACM,,,,2008,0
ICML,2024,213,Language modelling for biological sequences-curated datasets and baselines,J Almagro Armenteros;A Johansen;O Winther;H Nielsen,2020,BioRxiv,,,,,1
ICML,2024,298,Direct solution of the ¨¦secular equation and of some transcendent analogous problems,H M¨¹ntz,1913,CR Acad. Sci,,,,,1
ICML,2024,15,Towards universal multi-modal personalization: A language model empowered generative paradigm,T Wei;B Jin;R Li;H Zeng;Z Wang;J Sun;Q Yin;H Lu;S Wang;J He,2023,The Twelfth International Conference on Learning Representations,,,,,1
ICML,2024,888,Estimating posterior probabilities in classification problems with neural networks,M Hung;M Hu;M Shanker;B Patuwo,1996,International Journal of Computational Intelligence and Organizations,,,,,1
ICML,2024,1396,Towards private synthetic text generation,R Bommasani;S Wu;X Schofield,2019,NeurIPS 2019 Machine Learning with Guarantees Workshop,,,,,1
ICML,2024,180,The connection of chemical constitution and physiological action,A Crum-Brown;T Fraser,1968,Trans R Soc Edinb,,,,,1
ICML,2024,587,Efficient Gaussian process classification using P¨°lya-gamma data augmentation,F Wenzel;T Galy-Fajou;C Donner;M Kloft;M Opper,2019,Proceedings of the AAAI Conference on Artificial Intelligence,,,,,1
ICML,2024,410,Keeping neural networks simple by minimising the description length of weights,G Hinton;D Van Camp,1993,Proceedings of COLT-93,,,,,0
ICML,2024,46,Illegal use of artificial intelligence to create deepfakes depicting sexual content of minors,J Ca?as,2023,European Parliament,,,,,1
ICML,2024,1277,Towards private synthetic text generation,R Bommasani;S Wu;X Schofield,2019,NeurIPS 2019 Machine Learning with Guarantees Workshop,,,,,1
ICML,2024,1217,The problem with bias: Allocative versus representational harms in machine learning,S Barocas;K Crawford;A Shapiro;H Wallach,2017,"th Annual conference of the special interest group for computing, information and society",,,,,0
ICML,2024,1113,Cascade pruning: Towards class imbalance in convolutional neural networks,W Sun;Y Jiang;S Zhang;Y Liu,2021,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,,1
ICML,2024,811,Getting ready for nisar-and for managing big data using the commercial cloud,J Blumenfeld,2017,Earth-Data: Open Access for Data Science,,,,,1
ICML,2024,1052,Some applications of directional statistics to astronomy,P Jupp,1994,Multivariate Statistics and Matrices in Statistics: Proceedings of the 5th Tartu Conference,,,,,1
ICML,2024,944,A neural networks approach to residuary resistance of sailing yachts prediction,I Ortigosa;R Lopez;J Garcia,2007,Proceedings of the International Conference on Marine Engineering (MARINE),,,,,1
ICML,2024,177,Sur les lois de probabilit¨¦a estimation exhaustive,G Darmois,1935,CR Acad. Sci,,,,,1
ICML,2023,644,Methods of determining equilibrium situations in zero-sum polymatrix games,L Bregman;I Fokin,1987,Optimizatsia,,,,,1
ICML,2023,259,A neural networks approach to residuary resistance of sailing yachts prediction,I Ortigosa;R Lopez;J Garcia,2007,Proceedings of the international conference on marine engineering MARINE,,,,,1
ICML,2023,808,Traffic signs and pedestrians vision with multi-scale convolutional networks,P Sermanet;K Kavukcuoglu;Y Lecun,2011,Snowbird Machine Learning Workshop,,,,,1
ICML,2023,51,Closed-loop optimization of extreme fast charging for batteries using machine learning,P Attia;A Grover;N Jin;K Severson;B Cheong;J Liao;M Chen;N Perkins;Z Yang;P Herring;M Aykol;S Harris;R Braatz;S Ermon;W Chueh,2020,Nature,,,,,1
ICML,2023,813,A multi-illumination dataset of indoor object appearance,L Murmann;M Gharbi;M Aittala;F Durand,2019,2019 IEEE International Conference on Computer Vision (ICCV),,,,,1
ICML,2023,164,Remarks on ordering of walsh-functions,C.-K Yuen,1972,IEEE Transactions on Computers,,,,,1
ICML,2023,193,Irreguler-time markov model,M Ramati,2010,Negev,,,,,1
ICML,2023,377,Locally coupled oscillatory recurrent neural networks learn traveling waves and topographic organization,T Keller;M Welling,2023,Cosyne abstracts,,,,,1
ICML,2022,197,Algorithm cnneim-a and its mean complexity,L Xu;P Yan;T Chang,1987,Proc. of 2nd international conference on computers and applications,,,,,1
ICML,2022,93,Predicting spiking activity from local field potentials,M Rasch;A Gretton;Y Murayama;W Maass;N Logothetis,2008,Journal of Neurophysiology,,,,,1
ICML,2022,47,Optimizing noise injection in imitation learning,M Laskey;A Dragan;J Lee;K Goldberg;R Fox;Dart,2017,Conference on Robot Learning (CoRL),,,,,1
ICML,2021,9,Learning ahenb¡§ by cheating,D Chen;B Zhou;V Koltun;P Kr¡§ Uhl,2020,Conference on Robot Learning,,,,,1
ICML,2021,19,Dart: Optimizing noise injection in imitation learning,Michael Laskey;Anca Dragan;Jonathan Lee;Ken Goldberg;Roy Fox,2017,Conference on Robot Learning (CoRL),,,,,1
ICML,2021,19,Truncated horizon policy search: Deep combination of reinforcement and imitation,Wen Sun;J Bagnell;Byron Boots,2018,International Conference on Learning Representations,,,,,1
ICML,2020,83,Accumulated evidence inferred from neural activity accurately predicts behavioral choice,B Depasquale;J Pillow;C Brody,2019,Cosyne Abstracts,,,,,1
ICML,2020,40,General theory of differentiation in linear topological spaces,M Sova,1964,Czechoslovak Mathematical Journal,,,,,1
ICML,2020,23,Sample-optimal parametric qlearning with linear transition models,L Yang;M Wang,2019,International Conference on Machine Learning (ICML),,,,,1
IJCAI,2025,211,Syncdiffusion: More realis-tic talking face generation with neural diffusion models,Zhang,2024,AAAI Conference on Artificial Intelligence,,,,,1
IJCAI,2025,310,Sikubert and sikuroberta: Research on the construction and application of pre-training model of sikuquanshu for digital humanities,Dongbo,2021,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics,,,,2022,0
IJCAI,2025,388,"Xia et al., 2023] Shuyin Xia, Guoyin Wang, and Xinbo Gao",Wilson;Zhu ; Richard;C Wilson;Ping Zhu,2008,"Granular ball computing: an efficient, robust, and interpretable adaptive multi-granularity representation and computation method",,,,2023,0
IJCAI,2025,635,Semantic communication methods for intelligent tasks in AI-powered internet of things,Kang,2022,IEEE Transactions on Communications,,,,2021,0
IJCAI,2025,660,Mental tests used in genetic studies: The performance of related individuals on tests mainly educative and mainly reproductive,Raven ; James C Raven;; Santoro,1936,ICML,,,,,1
IJCAI,2025,661,Mental tests used in genetic studies: The performance of related individuals on tests mainly educative and mainly reproductive. thesis,Raven ; James C Raven;; Santoro,1936,Advances in the psychology of human intelligence,,,,,1
IJCAI,2025,684,A comparison of probabilistic methods for uncertainty quantification in short-term wind speed forecasting,Salinas,2018,International Journal of Forecasting,,,,,1
IJCAI,2025,684,A hierarchical bayesian neural network framework for probabilistic time series forecasting,Wang,2021,Journal of Computational and Graphical Statistics,,,,,1
IJCAI,2025,921,Distance-based out-of-distribution detection with confidence scores,Xu,2020,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,2020,1
IJCAI,2025,921,Generative model-based out-of-distribution detection,Xu,2021,International Journal of Computer Vision,,,,2021,1
IJCAI,2025,927,Automatic extraction of alias in ancient local chronicles based on conditional random fields,; N Li;Li,2018,J. Chin. Inf. Process,,,,2018,0
IJCAI,2025,1100,"Anirudh Narayanan, Arjun Suresh, and Mayank Gupta. Word embedding biases and caste discrimination in indian text corpora",Mukherjee,2023,"Proceedings of the Workshop on Fairness, Accountability, and Transparency in Machine Learning (FAT/ML)",,,,2020,1
IJCAI,2025,1145,Mohamad Ahmad Saleem Khasawneh. Development of audio-visual media of language learning for children with autism,Khasawneh,2023,Journal of Southwest Jiaotong University,,,,,1
IJCAI,2025,1174,"Zhenheng Tang, et al. Bridging general and personalized federated learning through selective model integration",Mora,2024,ICLR,,,,2025,0
IJCAI,2025,1246,Legal document query language: Conceptualizing linguistic commands for ai assistants in civi apeal proceedings,Agazzi,2024,Proceedings of the Ital-IA Intelligenza Artificiale -Thematic Workshops co-located with the 4th CINI National Lab AIIS Conference on Artificial Intelligence (Ital-IA 2024),,,,2024,1
IJCAI,2024,7,Relational dynamic influence diagrams and the decision-theoretic approach to rddl,Geffner Ram¨ªrez;Miquel Ram¨ªrez;Hector Geffner;Scott Sanner;Craig Boutilier,2009,Proceedings of the Conference on Uncertainty in Artificial Intelligence (UAI),,,,,1
IJCAI,2024,153,Yueting Gao. A brief discussion on the dressing of university teachers,Gao,2013,Science and Technology Information,,,,,1
IJCAI,2024,174,Assistive robot learning from demonstrations by older adults: Feasibility in younger and older cohorts,Botti,2024,Robotics: Science and Systems,,,,,1
IJCAI,2024,231,A Brain-Controlled Spelling Device for the Completely Paralyzed,Birbaumer,2001,IEEE Signal Processing Magazine,,,,2001,0
IJCAI,2024,255,"MacQueen, 1967] James MacQueen. Classification and analysis of multivariate observations",Ling,2023,AAAI,,,,1967,1
IJCAI,2024,396,Willem Mantel. Vraagstuk xxviii,Mantel,1907,Wiskundige Opgaven met de Oplossingen,,,,1875,1
IJCAI,2024,409,PrefLib: A Library of Preference Data,Colin Mallows;Nicholas Mallows;Toby Mattei;Walsh,1957,Proceedings of Third International Conference on Algorithmic Decision Theory,,,,2013,0
IJCAI,2024,416,Optimal liquidation with deep reinforcement learning,Lin;Beling;Siyu Lin;Peter Beling,2019,"Proceedings of the 33rd Conference on Neural Information Processing Systems, Deep Reinforcement Learning Workshop",,,,,1
IJCAI,2024,499,"Kirfel and Liefgreen, 2021] Lara Kirfel and Alice Liefgreen. What If (and How ...)? -Actionability Shapes People's Perceptions of Counterfactual Explanations in Automated Decision-Making",Keane,2021,Proceedings of the Thirtieth International Joint Conference on Artificial Intelligence,,,,,1
IJCAI,2024,591,The evaluation of causal effects on the variance and its application to process analysis,Manabu Kuroki;Kuroki,2008,Journal of the Journal of The Japanese Society for Quality Control,,,,2008,0
